x,y
655.565, 509.641
655.444, 498.695
677.794, 498.153
680.912, 501.815
726.23, 503.159
743.525, 507.403
794.536, 513.893
1279.52, 581.455
1281.02, 851.98
793.638, 569.029
743.217, 541.525
723.7, 529.912
678.381, 517.871

457.884, 525.396
152.436, 581.605
0.466895, 610.859
-0.12384, 542.35
150.263, 532.143

85.1207, 601.014
234.187, 572.644
358.614, 550.562
412.035, 541.837
473.835, 524.538
474.445, 525.365
412.756, 543.548
358.831, 552.394
234.715, 575.658
86.5774, 604.38
-0.0821157, 621.271

74.2778, 597.22
251.777, 563.976
412.596, 534.409
457.748, 525.76
468.281, 523.701
473.487, 522.39
473.448, 524.289
461.949, 527.657
412.813, 541.082
380.236, 545.907
250.896, 568.531
-0.0885339, 617.104

164.277, 656.959
253.668, 622.043
383.253, 575.344
430.583, 560.572
455.727, 553.575
479.796, 547.16
502.445, 540.932
523.166, 533.495
540.997, 524.911
542.602, 526.384
524.318, 534.898
502.766, 542.094
480.202, 548.837
456.198, 555.994
430.579, 563.995
385.133, 579.44
254.031, 627.921
160.563, 666.159
-0.00319046, 734.518

621.897, 527.275
612.639, 549.28
602.013, 574.965
601.368, 609.746
608.206, 634.688
618.162, 675.247
689.545, 880.686
617.563, 883.789
598.729, 751.578
589.053, 675.798
585.829, 637.606
582.61, 609.779
588.504, 574.455
602.7, 548.044

662.679, 514.071
662.762, 514.93
664.413, 516.082
678.962, 520.842
698.646, 526.15
711.548, 531.35
715.885, 534.324
731.21, 546.842
753.577, 563.639
773.606, 577.689
832.778, 621.18
939.827, 699.762
1221.45, 911.9
1190.75, 920.932
932.122, 710.755
827.096, 626.834
768.497, 581.349
748.934, 567.437
727.469, 550.159
712.872, 537.002
709.23, 534.675
697.196, 528.804
677.487, 522.967
664.349, 518.907
660.647, 517.334
658.607, 516.092
657.882, 514.708
658.37, 513.242
660.161, 512.125
663.791, 511.121

662.942, 514.147
662.937, 514.869
664.743, 516
683.6, 521.992
699.014, 525.847
711.969, 531.089
718.876, 536.106
732.747, 547.162
803.063, 597.598
986.009, 732.016
1223.08, 910.641
1280.11, 896.451
1280.19, 853.797
796.769, 571.64
744.884, 543.196
723.436, 530.318
678.276, 518.069
675.793, 511.049

155.55, 631.106
248.432, 605.855
361.225, 575.964
423.954, 559.5
456.599, 550.784
481.88, 544.13
502.119, 538.396
522.359, 531.469
531.46, 526.309
536.95, 522.308
538.801, 523.359
532.483, 527.867
523.361, 532.931
502.75, 539.919
482.733, 545.895
456.632, 552.826
424.052, 562.03
362.177, 578.886
250.68, 608.798
156.872, 634.278
-0.12964, 677.285

570.153, 499.462
580.087, 499.245
580.468, 510.984
569.739, 511.568
550.035, 509.531

570.507, 511.611
593.006, 515.733
601.487, 517.27
605.901, 518.448
609.341, 519.307
612.629, 520.768
614.975, 521.965
616.446, 523.559
618.606, 526.332
613.562, 526.848
612.385, 525.412
611.002, 524.085
607.714, 521.997
600.679, 519.603
592.257, 517.93

600.141, 512.651
599.492, 514.114
598.99, 515.597
598.579, 516.543
594.409, 515.843
594.896, 514.366
595.506, 513.307
596.123, 512.193
597.264, 510.766

