x,y
0,0
143.384 , 872.417
255.878 , 784.239
255.878 , 784.239
515.035 , 588.01
515.035 , 588.01
583.605 , 536.364
583.605 , 536.364
612.209 , 514.819
612.209 , 514.819
627.582 , 504.948
627.582 , 504.948
627.576 , 502.426
627.576 , 502.426
610.321 , 512.224
610.321 , 512.224
576.308 , 535.238
576.308 , 535.238
508.556 , 583.189
508.556 , 583.189
231.535 , 775.903
231.535 , 775.903
97.7607 , 871.969

1208.01 , 859.12
837.656 , 612.338
837.656 , 612.338
710.288 , 530.651
710.288 , 530.651
723.292 , 529.867
723.292 , 529.867
847.802 , 601.404
847.802 , 601.404
1267.28 , 848.895

688.6 , 516.765
708.78 , 529.674
708.78 , 529.674
721.631 , 528.949
721.631 , 528.949
688.484 , 512.091

696.556 , 515.962
698.454 , 514.748
698.454 , 514.748
700.005 , 514.189
700.005 , 514.189
709.433 , 511.867
709.433 , 511.867
728.182 , 509.166
728.182 , 509.166
739.76 , 507.987
739.76 , 507.987
745.993 , 508.37
745.993 , 508.37
728.668 , 510.606
728.668 , 510.606
710.772 , 513.88
710.772 , 513.88
702.674 , 515.828
702.674 , 515.828
701.334 , 517.238
701.334 , 517.238
701.074 , 518.352

740.087 , 492.309
747.57 , 493.052
747.57 , 493.052
758.997 , 493.228
758.997 , 493.228
771.313 , 493.18
771.313 , 493.18
771.233 , 505.642
771.233 , 505.642
767.675 , 507.986
767.675 , 507.986
753.908 , 507.892
753.908 , 507.892
743.189 , 507.666
743.189 , 507.666
739.983 , 504.511

739.794 , 504.756
715.525 , 501.392
715.525 , 501.392
719.127 , 493.357
719.127 , 493.357
739.931 , 494.839

743.22 , 507.947
714.73 , 503.399
714.73 , 503.399
715.501 , 501.589
715.501 , 501.589
740.211 , 504.856

1279.95 , 607.954
990.77 , 550.974
990.77 , 550.974
940.936 , 544.56
940.936 , 544.56
941.249 , 548.021
941.249 , 548.021
991.43 , 557.291
991.43 , 557.291
1279.86 , 618.295

1280.07 , 525.298
1013.11 , 507.423
1013.11 , 507.423
925.828 , 505.636
925.828 , 505.636
839.748 , 496.22
839.748 , 496.22
839.696 , 503.273
839.696 , 503.273
843.213 , 514.5
843.213 , 514.5
862.698 , 522.893
862.698 , 522.893
952.844 , 542.62
952.844 , 542.62
964.569 , 539.7
964.569 , 539.7
1150.13 , 567.424
1150.13 , 567.424
1279.94 , 590.229

1279.9 , 618.993
991.261 , 557.551
991.261 , 557.551
940.719 , 548.155
940.719 , 548.155
940.467 , 540.072
940.467 , 540.072
862.781 , 523.361
862.781 , 523.361
843.161 , 514.925
843.161 , 514.925
840.517 , 507.027
840.517 , 507.027
826.573 , 511.703
826.573 , 511.703
824.382 , 514.089
824.382 , 514.089
824.109 , 516.442
824.109 , 516.442
826.649 , 518.801
826.649 , 518.801
832.45 , 520.802
832.45 , 520.802
929.45 , 551.538
929.45 , 551.538
1280.01 , 635.536

771.876 , 497.452
839.166 , 498.94
839.166 , 498.94
839.286 , 507.102
839.286 , 507.102
771.713 , 506.904

769.517 , 506.955
839.176 , 507.229
839.176 , 507.229
832.867 , 509.416
832.867 , 509.416
766.174 , 509.133

0.0537623 , 530.11
161.688 , 518.03
161.688 , 518.03
288.672 , 514.659
288.672 , 514.659
361.446 , 510.451
361.446 , 510.451
559.157 , 494.297
559.157 , 494.297
559.525 , 507.564
559.525 , 507.564
225.878 , 578.867
225.878 , 578.867
164.105 , 586.427
164.105 , 586.427
-0.195859 , 621.274

0.241155 , 643.076
315.992 , 566.333
315.992 , 566.333
559.658 , 508.876
559.658 , 508.876
559.764 , 510.73
559.764 , 510.73
318.623 , 571.034
318.623 , 571.034
0.0292666 , 652.736

