x,y
817.634,885.62
671.181,672.823
671.181,672.823
628.336,609.903
628.336,609.903
611.971,577.44
611.971,577.44
606.938,564.856
606.938,564.856
606.163,550.725
606.163,550.725
609.261,541.239
609.261,541.239
614.875,530.011
614.875,530.011
618.987,523.502
618.987,523.502
619.038,521.483
619.038,521.483
618.516,518.964
618.516,518.964
615.566,515.577
615.566,515.577
610.071,513.164
610.071,513.164
613.618,511.572
613.618,511.572
618.342,513.106
618.342,513.106
621.73,514.68
621.73,514.68
624.256,516.639
624.256,516.639
625.39,520.184
625.39,520.184
624.681,524.012
624.681,524.012
622.696,529.967
622.696,529.967
618.868,540.6
618.868,540.6
616.327,550.052
616.327,550.052
619.051,561.488
619.051,561.488
634.047,588.183
634.047,588.183
668.244,630.645
668.244,630.645
756.67,734.741
756.67,734.741
869.517,886.81
