x,y
817.634,885.62
671.181,672.823
671.181,672.823
628.336,609.903
628.336,609.903
611.971,577.44
611.971,577.44
606.938,564.856
606.938,564.856
606.163,550.725
606.163,550.725
609.261,541.239
609.261,541.239
614.875,530.011
614.875,530.011
618.987,523.502
618.987,523.502
619.038,521.483
619.038,521.483
618.516,518.964
618.516,518.964
615.566,515.577
615.566,515.577
610.071,513.164
610.071,513.164
613.618,511.572
613.618,511.572
618.342,513.106
618.342,513.106
621.73,514.68
621.73,514.68
624.256,516.639
624.256,516.639
625.39,520.184
625.39,520.184
624.681,524.012
624.681,524.012
622.696,529.967
622.696,529.967
618.868,540.6
618.868,540.6
616.327,550.052
616.327,550.052
619.051,561.488
619.051,561.488
634.047,588.183
634.047,588.183
668.244,630.645
668.244,630.645
756.67,734.741
756.67,734.741
869.517,886.81
56.9221,759.89
133.309,716.77
133.309,716.77
328.701,614.434
328.701,614.434
388.738,582.929
388.738,582.929
430.748,564.299
430.748,564.299
464.092,551.282
464.092,551.282
482.163,545.138
482.163,545.138
505.283,537.909
505.283,537.909
526.502,531.133
526.502,531.133
546.651,524.535
546.651,524.535
554.697,519.482
554.697,519.482
556.419,517.945
556.419,517.945
556.959,515.517
556.959,515.517
556.268,513.675
556.268,513.675
555.024,512.455
555.024,512.455
553.649,511.333
553.649,511.333
552.287,512.24
552.287,512.24
554.042,514.212
554.042,514.212
554.483,515.229
554.483,515.229
554.057,517.009
554.057,517.009
551.325,519.052
551.325,519.052
545.903,522.536
545.903,522.536
535.007,526.569
535.007,526.569
526.125,529.719
526.125,529.719
503.538,536.471
503.538,536.471
481.663,542.918
481.663,542.918
460.172,550.286
460.172,550.286
427.552,561.723
427.552,561.723
386.8,579.203
386.8,579.203
328.65,607.334
328.65,607.334
36.8632,758.118
817.634,885.62
671.181,672.823
671.181,672.823
628.336,609.903
628.336,609.903
611.971,577.44
611.971,577.44
606.938,564.856
606.938,564.856
606.163,550.725
606.163,550.725
609.261,541.239
609.261,541.239
614.875,530.011
614.875,530.011
618.987,523.502
618.987,523.502
619.038,521.483
619.038,521.483
618.516,518.964
618.516,518.964
615.566,515.577
615.566,515.577
610.071,513.164
610.071,513.164
613.618,511.572
613.618,511.572
618.342,513.106
618.342,513.106
621.73,514.68
621.73,514.68
624.256,516.639
624.256,516.639
625.39,520.184
625.39,520.184
624.681,524.012
624.681,524.012
622.696,529.967
622.696,529.967
618.868,540.6
618.868,540.6
616.327,550.052
616.327,550.052
619.051,561.488
619.051,561.488
634.047,588.183
634.047,588.183
668.244,630.645
668.244,630.645
756.67,734.741
756.67,734.741
869.517,886.81

