x,y
655.742, 508.545
655.791, 495.966
679.702, 496.662
683.641, 497.938
741.062, 503.672
769.37, 509.306
883.78, 522.882
1279.77, 588.087
1280.03, 829.16
872.883, 608.879
767.349, 553.472
738.766, 535.718
682.841, 518.333

432.228, 524.085
-0.234965, 598.785
-0.277215, 534.647

67.2682, 596.375
213.105, 571.557
337.533, 549.475
397.444, 538.145
452.754, 523.451
453.364, 524.277
397.694, 540.193
337.749, 551.306
213.634, 574.57
69.3708, 599.612
0.00284767, 612.213

60.7236, 588.745
246.603, 556.674
388.037, 532.362
432.15, 524.375
452.513, 521.295
452.646, 523.232
440.495, 526.425
396.143, 537.659
359.261, 544.812
234.464, 566.998
-0.197141, 607.847

142.248, 643.52
276.454, 601.365
368.388, 574.584
416.675, 561.146
442.658, 553.539
467.776, 546.794
489.979, 539.692
510.85, 532.097
527.065, 523.723
527.924, 519.627
529.984, 519.885
530.126, 522.88
528.85, 524.823
511.436, 533.909
490.429, 541.464
468.445, 548.841
442.574, 555.976
415.787, 563.758
368.574, 577.401
277.112, 605
142.987, 648.829
0.161962, 695.566

614.995, 529.134
606.61, 550.964
575.727, 610.578
538.746, 742.625
507.346, 882.247
441.21, 884.21
502.737, 726.251
554.06, 607.754
595.798, 549.902

663.908, 513.381
662.977, 513.962
663.059, 514.821
664.711, 515.973
676.977, 520.575
696.31, 526.132
712.047, 531.053
729.255, 541.31
750.849, 557.433
769.667, 571.656
831.37, 616.552
941.09, 694.734
1245.65, 919.395
1222.35, 929.672
933.163, 705.056
825.64, 622.703
765.981, 576.842
745.567, 559.674
726.06, 544.195
709.968, 534.266
694.279, 528.944
674.945, 522.701
664.335, 518.876
660.945, 517.225
659.131, 515.871
658.488, 514.723
658.976, 513.133
660.459, 512.017
662.61, 511.259
666.445, 510.417

664.644, 513.392
663.363, 514.064
663.358, 514.786
665.164, 515.917
676.833, 520.245
711.81, 530.449
729.065, 540.47
816.515, 602.125
963.361, 708.253
1247.01, 919.196
1280.57, 912.695
1280.35, 830.217
853.602, 600.992
759.721, 550.007
738.869, 536.29
682.589, 518.578
678.687, 511.275

139.465, 630.453
233.032, 605.795
349.014, 576.219
410.264, 559.328
442.377, 550.581
488.523, 537.274
507.867, 529.781
517.286, 524.747
521.911, 521.251
522.03, 519.722
524.149, 519.638
524.494, 520.527
524.011, 522.878
518.31, 526.306
509.187, 531.37
489.363, 539.016
443.38, 552.493
409.63, 561.958
349.6, 578.337
233.636, 609.411
140.053, 634.587
-0.110047, 671.607

563.948, 495.952
574.273, 496.986
574.733, 509.037
564.005, 509.7
543.596, 507.037

564.532, 510.585
586.858, 515.813
595.338, 517.274
599.676, 518.222
603.499, 519.694
606.634, 521.386
608.904, 522.813
610.601, 524.351
611.512, 526.562
612.167, 528.636
606.072, 528.104
604.393, 525.087
601.675, 522.005
593.993, 519.146
585.802, 517.55

595.63, 511.398
594.799, 512.787
594.15, 514.25
593.648, 515.733
593.114, 516.762
589.067, 515.979
589.224, 514.543
589.71, 513.567
590.492, 512.494
591.922, 510.902
593.096, 509.368
